[GIN] 2019/10/11 - 15:47:03 | 200 |    3.434742ms |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoGjn
[GIN] 2019/10/11 - 15:47:03 | 200 |      96.795µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoGkF&sid=1
[GIN] 2019/10/11 - 15:47:03 | 200 |    2.188411ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvoGkD&sid=1
[GIN] 2019/10/11 - 15:47:15 | 200 |     227.014µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoJZh
[GIN] 2019/10/11 - 15:47:15 | 200 |     125.097µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoJZr&sid=2
[GIN] 2019/10/11 - 15:47:15 | 200 |    3.292532ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvoJZp&sid=2
[GIN] 2019/10/11 - 15:48:15 | 500 | 59.990675558s |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoJZ-&sid=2
[GIN] 2019/10/11 - 15:48:15 | 400 | 39.998490146s |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvoOSM&sid=2
[GIN] 2019/10/11 - 15:48:15 | 200 | 59.869989203s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=2
[GIN] 2019/10/11 - 15:48:15 | 400 |       21.37µs |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvoYDR&sid=2
[GIN] 2019/10/11 - 15:48:16 | 200 |      98.134µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoYUW
[GIN] 2019/10/11 - 15:48:16 | 200 |     110.214µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoYUZ&sid=3
[GIN] 2019/10/11 - 15:48:16 | 200 |     659.726µs |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvoYUY&sid=3
[GIN] 2019/10/11 - 15:49:16 | 500 | 59.994799721s |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvoYUd&sid=3
[GIN] 2019/10/11 - 15:49:16 | 200 |          1m0s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=3
[GIN] 2019/10/11 - 15:49:19 | 200 |     100.352µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvonsA
[GIN] 2019/10/11 - 15:49:19 | 200 |     171.584µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvonsI&sid=4
[GIN] 2019/10/11 - 15:49:19 | 200 |    3.475489ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvonsH&sid=4
[GIN] 2019/10/11 - 15:49:45 | 301 |     110.837µs |             ::1 | GET      /assets/index.html
[GIN] 2019/10/11 - 15:49:45 | 304 |     185.475µs |             ::1 | GET      /assets/
[GIN] 2019/10/11 - 15:49:45 | 200 |         2m42s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=1
[GIN] 2019/10/11 - 15:49:46 | 304 |     134.493µs |             ::1 | GET      /assets/socket.io.js
[GIN] 2019/10/11 - 15:49:46 | 304 |     110.349µs |             ::1 | GET      /assets/jquery.js
[GIN] 2019/10/11 - 15:49:46 | 200 |     108.564µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvouNT
[GIN] 2019/10/11 - 15:49:46 | 200 |     137.105µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvouOJ&sid=5
[GIN] 2019/10/11 - 15:49:46 | 200 |     7.49495ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvouOB&sid=5
[GIN] 2019/10/11 - 15:49:46 | 404 |      20.668µs |             ::1 | GET      /assets/socket.io.js.map
[GIN] 2019/10/11 - 15:49:46 | 200 |      33.322µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvouPI&sid=5
[GIN] 2019/10/11 - 15:50:10 | 200 |      79.649µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo-RB
[GIN] 2019/10/11 - 15:50:10 | 200 |     111.116µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo-RV&sid=6
[GIN] 2019/10/11 - 15:50:10 | 200 |    3.707421ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=Msvo-RT&sid=6
[GIN] 2019/10/11 - 15:50:10 | 200 |      17.811µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo-Rj&sid=6
[GIN] 2019/10/11 - 15:50:13 | 404 |      25.118µs |             ::1 | GET      /assets/socket.io.js.map
[GIN] 2019/10/11 - 15:50:16 | 304 |     206.839µs |             ::1 | GET      /assets/
[GIN] 2019/10/11 - 15:50:16 | 200 |  5.392680915s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=6
[GIN] 2019/10/11 - 15:50:16 | 200 |      81.765µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo_o5
[GIN] 2019/10/11 - 15:50:16 | 404 |      24.938µs |             ::1 | GET      /assets/socket.io.js.map
[GIN] 2019/10/11 - 15:50:16 | 200 |      94.073µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo_qH&sid=7
[GIN] 2019/10/11 - 15:50:16 | 200 |    10.25896ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=Msvo_qA&sid=7
[GIN] 2019/10/11 - 15:50:18 | 304 |     182.084µs |             ::1 | GET      /assets/
[GIN] 2019/10/11 - 15:50:18 | 200 | 32.222131925s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=5
[GIN] 2019/10/11 - 15:50:18 | 200 |      72.941µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvp0HX
[GIN] 2019/10/11 - 15:50:18 | 404 |      29.274µs |             ::1 | GET      /assets/socket.io.js.map
[GIN] 2019/10/11 - 15:50:18 | 200 |      95.292µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvp0IW&sid=8
[GIN] 2019/10/11 - 15:50:18 | 200 |   16.910547ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=Msvp0IN&sid=8
[GIN] 2019/10/11 - 15:50:19 | 500 | 59.994146221s |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvonsQ&sid=4
[GIN] 2019/10/11 - 15:50:19 | 200 | 58.929126725s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=4
[GIN] 2019/10/11 - 15:51:16 | 500 | 59.836765935s |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvo_qb&sid=7
[GIN] 2019/10/11 - 15:51:16 | 200 |          1m0s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=7
[GIN] 2019/10/11 - 15:51:18 | 500 | 59.901560759s |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=Msvp0J3&sid=8
[GIN] 2019/10/11 - 15:51:18 | 200 | 59.950195129s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=8
[GIN] 2019/10/11 - 15:51:19 | 200 |      133.67µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpF9w
[GIN] 2019/10/11 - 15:51:19 | 200 |     327.605µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpFA8&sid=9
[GIN] 2019/10/11 - 15:51:19 | 200 |     4.83178ms |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvpFA6&sid=9
[GIN] 2019/10/11 - 15:51:19 | 200 |     148.914µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpFGd
[GIN] 2019/10/11 - 15:51:19 | 400 |       32.94µs |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvpFGo&sid=a
[GIN] 2019/10/11 - 15:51:19 | 200 |      21.839µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpFGp&sid=a
[GIN] 2019/10/11 - 15:51:19 | 200 |   33.517251ms |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=a
[GIN] 2019/10/11 - 15:51:21 | 200 |     247.481µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpFeb
[GIN] 2019/10/11 - 15:51:21 | 200 |     176.359µs |             ::1 | GET      /socket.io/?EIO=3&transport=polling&t=MsvpFfQ&sid=b
[GIN] 2019/10/11 - 15:51:21 | 200 |     622.878µs |             ::1 | POST     /socket.io/?EIO=3&transport=polling&t=MsvpFfP&sid=b
[GIN] 2019/10/11 - 15:53:01 | 200 |         1m39s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=b
[GIN] 2019/10/11 - 15:53:11 | 200 |         1m52s |             ::1 | GET      /socket.io/?EIO=3&transport=websocket&sid=9
